L1,L2,C1,C2,Omega_1,Omega_2,Omega_3
1.016051e-09,1.096008e-09,7.127311e-07,1.050927e-07,3.716031e+07,7.189982e+07,9.317662e+07
4.447260e-07,9.326182e-09,3.373901e-09,9.746363e-09,2.581591e+07,2.964360e+07,1.048882e+08
4.648179e-09,1.982688e-07,2.629792e-09,2.365331e-07,2.860210e+08,4.352924e+07,4.617712e+06
1.158254e-09,3.016027e-07,3.068162e-07,1.604005e-09,5.304676e+07,4.549666e+07,4.546525e+07
1.548144e-08,1.461543e-09,9.862762e-08,3.609527e-07,2.559146e+07,2.760333e+07,4.353807e+07
1.035975e-09,8.151055e-09,5.183107e-08,2.897617e-08,1.364678e+08,7.652829e+07,6.506877e+07
8.474030e-09,5.739501e-07,1.661442e-08,1.519213e-07,8.427766e+07,1.070716e+07,3.386520e+06
7.611468e-08,2.060567e-08,2.006152e-07,1.472750e-08,8.092521e+06,2.745110e+07,5.740400e+07
1.324599e-07,7.794218e-09,3.058132e-07,9.765897e-09,4.968551e+06,2.744809e+07,1.146193e+08
1.563358e-07,2.848051e-09,2.579869e-07,1.535086e-09,4.979342e+06,6.416119e+07,4.782552e+08
3.734825e-07,5.443987e-09,5.140660e-09,3.805368e-08,2.282209e+07,2.413949e+07,6.947733e+07
3.865689e-08,9.553111e-08,2.244292e-09,4.459198e-08,1.073611e+08,5.905631e+07,1.532143e+07
1.928958e-07,2.583598e-09,6.776011e-09,1.628439e-09,2.765996e+07,6.242109e+07,4.875304e+08
2.468384e-09,7.272341e-09,2.120673e-09,2.786761e-07,4.370758e+08,2.208583e+08,2.221330e+07
2.681297e-08,9.826732e-07,9.166823e-08,3.912395e-08,2.017057e+07,6.010491e+06,5.100046e+06
1.826736e-08,7.083805e-07,4.468113e-08,1.080362e-08,3.500258e+07,1.257703e+07,1.143094e+07
9.481968e-09,5.403071e-07,2.973878e-09,3.106897e-09,1.883169e+08,3.459843e+07,2.440710e+07
5.253431e-09,3.403422e-07,3.675063e-09,4.014708e-07,2.275863e+08,2.818787e+07,2.705298e+06
3.338371e-07,9.535704e-07,1.805785e-09,4.349928e-08,4.072862e+07,2.116612e+07,4.910012e+06
9.887783e-09,1.094034e-08,6.207829e-09,5.998937e-09,1.276382e+08,1.254493e+08,1.234376e+08
5.751377e-07,2.523083e-07,1.291424e-07,1.467868e-09,3.669270e+06,2.885632e+07,5.196259e+07
5.757656e-07,1.151402e-09,2.469401e-07,5.380372e-09,2.652048e+06,1.814336e+07,4.017726e+08
4.432420e-09,2.906001e-07,3.278321e-07,4.671152e-09,2.623335e+07,2.712847e+07,2.714190e+07
1.093729e-09,6.243382e-08,2.895158e-09,4.962237e-07,5.619645e+08,7.395134e+07,5.681347e+06
9.341718e-08,3.662739e-07,3.443907e-09,5.463030e-08,5.575206e+07,2.591291e+07,7.069362e+06
5.420732e-07,9.331951e-07,1.645400e-08,2.437438e-08,1.058852e+07,8.306978e+06,6.630511e+06
1.232563e-09,2.373993e-08,3.281718e-07,2.612998e-09,4.972157e+07,1.242858e+08,1.269670e+08
4.538568e-09,1.003558e-09,4.433026e-08,1.429079e-08,7.050021e+07,1.292142e+08,2.640588e+08
2.646798e-09,2.472336e-09,2.419497e-09,3.335339e-09,3.951637e+08,3.732378e+08,3.482381e+08
1.758475e-09,2.870093e-09,3.434643e-09,4.246924e-09,4.069032e+08,3.373056e+08,2.864275e+08
4.760055e-07,1.217040e-07,2.749007e-07,1.441979e-09,2.764433e+06,3.415164e+07,7.548631e+07
1.227456e-07,2.493873e-09,5.461647e-09,8.961529e-07,3.862203e+07,3.835190e+07,2.115299e+07
2.064712e-07,1.040691e-07,5.555895e-08,2.575423e-09,9.336695e+06,3.617064e+07,6.108223e+07
1.105052e-08,1.642882e-08,4.043458e-09,1.769675e-07,1.496002e+08,9.594581e+07,1.854599e+07
2.474285e-07,4.645505e-09,1.816299e-08,3.392853e-07,1.491700e+07,1.516933e+07,2.518843e+07
2.560799e-09,6.802023e-07,5.972538e-07,3.346016e-09,2.557012e+07,2.098042e+07,2.096124e+07
2.710752e-08,5.272864e-07,2.044528e-07,2.097437e-07,1.343255e+07,4.174005e+06,3.006992e+06
1.528044e-08,1.482518e-09,2.177725e-07,1.129023e-08,1.733527e+07,7.455023e+07,2.444267e+08
6.489137e-07,5.360363e-09,5.772978e-08,2.827009e-07,5.166621e+06,5.646391e+06,2.568853e+07
8.546681e-09,1.535300e-09,8.088469e-07,3.225253e-09,1.202730e+07,1.757152e+08,4.493879e+08
6.875162e-08,1.617846e-08,1.707119e-09,1.332558e-07,9.230529e+07,8.357983e+07,2.153716e+07
2.894313e-09,7.362157e-08,5.873538e-09,3.460699e-08,2.425367e+08,5.101707e+07,1.981142e+07
6.945133e-07,1.940723e-07,1.393018e-08,2.007434e-08,1.016673e+07,1.169822e+07,1.602129e+07
4.004962e-09,1.666845e-09,8.474727e-07,9.338347e-09,1.716477e+07,1.381605e+08,2.534646e+08
2.250726e-09,1.860484e-08,5.517722e-09,8.032210e-07,2.837649e+08,9.353963e+07,8.180305e+06
1.201878e-09,1.734291e-08,2.497064e-09,2.762084e-09,5.772382e+08,2.027746e+08,1.444843e+08
2.582824e-07,1.552329e-08,1.123343e-08,8.179087e-08,1.856506e+07,1.922952e+07,2.806440e+07
3.659716e-08,6.363936e-07,2.322054e-09,3.211165e-08,1.084776e+08,2.619509e+07,6.995291e+06
6.892439e-09,1.011053e-08,5.897825e-09,1.361102e-07,1.568439e+08,1.020006e+08,2.695676e+07
1.318408e-08,7.860014e-07,3.800045e-09,3.510130e-07,1.412800e+08,1.824400e+07,1.903824e+06
5.325986e-07,1.323745e-08,2.562125e-08,4.208066e-07,8.560514e+06,8.709699e+06,1.339851e+07
2.032189e-09,7.047981e-07,1.124485e-09,2.239142e-09,6.615170e+08,4.347390e+07,2.517253e+07
1.413226e-08,3.371319e-08,9.084001e-09,1.227767e-07,8.825831e+07,4.970966e+07,1.554326e+07
3.415194e-08,5.491119e-07,9.622424e-08,2.791180e-08,1.744416e+07,8.901850e+06,8.077476e+06
1.645688e-08,1.909180e-07,6.870772e-09,2.217960e-08,9.404236e+07,3.031923e+07,1.536738e+07
2.005020e-08,6.948949e-08,2.511625e-09,4.852387e-07,1.409169e+08,6.685531e+07,5.445813e+06
4.693616e-09,2.211001e-08,2.766599e-08,9.453351e-09,8.775524e+07,7.276748e+07,6.916918e+07
2.457434e-09,1.679703e-08,1.848629e-09,7.981865e-07,4.691744e+08,1.678077e+08,8.636377e+06
1.472145e-08,2.387003e-08,1.473880e-09,3.487769e-08,2.146810e+08,1.353664e+08,3.465769e+07
6.739675e-09,7.642215e-08,1.036669e-07,6.052865e-09,3.783211e+07,4.585428e+07,4.649539e+07
1.409257e-09,1.868147e-08,2.127918e-09,6.815823e-09,5.774673e+08,1.751964e+08,8.862072e+07
