L1,L2,C1,C2,Omega_1,Omega_2,Omega_3
2.507812e-08,6.661141e-09,3.849580e-07,1.831473e-07,1.017761e+07,1.593342e+07,2.863027e+07
1.688573e-07,2.973546e-07,1.204353e-07,2.761976e-08,7.012344e+06,9.770867e+06,1.103450e+07
1.466242e-07,6.018711e-07,7.179862e-09,1.653048e-08,3.082046e+07,1.633705e+07,1.002549e+07
8.533991e-08,8.254432e-09,2.068563e-09,2.552598e-08,7.526439e+07,7.472419e+07,6.889144e+07
3.810472e-07,3.269821e-07,2.316569e-09,2.519572e-07,3.365798e+07,2.480500e+07,3.483972e+06
1.419672e-08,2.559358e-09,9.826415e-07,1.387570e-07,8.466589e+06,2.215485e+07,5.306486e+07
9.104373e-07,7.874567e-07,3.953296e-08,4.555397e-09,5.271028e+06,1.200781e+07,1.669643e+07
4.066152e-07,4.475515e-08,3.155379e-09,2.042492e-07,2.791788e+07,2.670157e+07,1.045920e+07
2.848247e-07,3.702002e-09,1.373307e-09,4.979816e-07,5.056235e+07,5.030615e+07,2.329030e+07
2.495903e-09,2.853576e-08,2.940166e-08,7.892820e-08,1.167348e+08,3.878551e+07,2.107120e+07
1.363454e-09,3.083266e-07,2.911414e-07,3.596459e-09,5.019121e+07,3.014844e+07,3.003011e+07
1.118627e-09,4.941359e-07,4.689257e-07,4.978142e-08,4.366217e+07,6.698248e+06,6.375924e+06
9.643563e-08,1.961918e-08,1.278637e-07,2.395596e-09,9.005495e+06,6.053302e+07,1.458656e+08
2.229400e-08,1.595696e-08,1.008733e-07,4.908188e-07,2.108716e+07,1.767576e+07,1.129963e+07
1.932748e-07,6.814680e-07,8.967865e-08,4.448820e-08,7.595701e+06,6.200340e+06,5.743212e+06
2.615152e-07,1.899454e-08,3.827248e-09,1.586934e-07,3.160882e+07,3.088571e+07,1.821403e+07
5.293834e-09,2.035098e-07,3.501474e-07,2.130087e-07,2.322680e+07,6.013415e+06,4.802956e+06
